"Dataset.Name","dataset.index","ID","Species","Treatment","Patients","Cells","Platform","Pri...Meta","PMID","major.cts","minor.cts","malignant.cts","endo.ist","folder_size","ISCVAM_simple","pipeline_interactively","pipeline_without_targets_HPC","pipeline_without_targets_Mac","Number_of_cells","gse_only","cancer.type","glioma.in.gaby","notes","running.time.job.array","JobID","outputFile.name","dataset.name","numb.of.cells","running.time","JobName","Partition","Account","AllocCPUS","State","ExitCode","Elapsed","MaxRSS","MaxVMSize","ReqMem","TotalCPU","file.size","date.modification","time.modification","file.name","State_h5","secondStage_JobID","secondStage_batch.job","secondStage_JobName","secondStage_AllocCPUS","secondStage_State","secondStage_Elapsed","secondStage_ReqMem","secondStage_ReqTRES","secondStage_TotalCPU","secondStage_date.process","secondStage_State_clean","secondStage_ReqMem_clean","secondStage_ReqTRES_clean","secondStage_CPU.time.used","secondStage_DiskSpaceUsed_clean","secondStage_PhysicalMemoryUsed_clean","secondStage_VirtualMemoryUsed_clean","secondStage_h5.name","h5_fileSize","h5_filename","secondStage_h5.completed"
"PAAD_GSE158356",26,"T020160","Human","None",5,"4,113","10x Genomics","Metastatic","33782087","Acinar, B, CD8T, Epithelial, Fibroblasts, Mono/Macro","Acinar, B, CD8T, Epithelial, Fibroblasts, Mono/Macro","Immune cells, Others, Stromal cells",FALSE,79.8,NA,NA,"",NA,4113,"GSE158356","PAAD",FALSE,"",NA,"7587837_26","array_7587837_26.out","PAAD_GSE158356","4113","16.96387876","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:17:02",NA,NA,"24000M","17:03.4","57M","6-Aug","15:52","PAAD_GSE158356.pipeline.h5","COMPLETED","7723962_26",7723962,"array",24,"COMPLETED","0:05:37","48000M","billing=2+","05:42.8",912,"COMPLETED COMPLETED COMPLETED","48000M  ","billing=2+  "," cpu=00:05:42 cpu=00:00:00"," fs/disk=881593031 fs/disk=2332"," mem=7418216K mem=0"," vmem=8115468K vmem=0","PAAD_GSE158356.secondStage.h5","75M","PAAD_GSE158356.secondStage.h5","yes"
"BLCA_GSE130001",27,"T010006","Human","None",2,"4,129","10x Genomics","Primary","32111252","Endothelial, Epithelial, Fibroblasts, Myofibroblasts","Endothelial, Epithelial, Fibroblasts, Myofibroblasts","Stromal cells",TRUE,94,NA,NA,"",NA,4129,"GSE130001","BLCA",FALSE,"",NA,"7587837_27","array_7587837_27.out","BLCA_GSE130001","4129","15.59336098","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:15:40",NA,NA,"24000M","15:43.0","47M","6-Aug","15:51","BLCA_GSE130001.pipeline.h5","COMPLETED","7723962_27",7723962,"array",24,"COMPLETED","0:05:51","48000M","billing=2+","05:59.3",912,"COMPLETED COMPLETED COMPLETED","48000M  ","billing=2+  "," cpu=00:05:59 cpu=00:00:00"," fs/disk=892206408 fs/disk=2332"," mem=8809224K mem=0"," vmem=9544992K vmem=0","BLCA_GSE130001.secondStage.h5","59M","BLCA_GSE130001.secondStage.h5","yes"
"Glioma_GSE70630",28,"T010037","Human","None",6,"4,347","Smart-seq2","Primary","27806376","AC-like Malignant, Mono/Macro, OC-like Malignant, Oligodendrocyte","AC-like Malignant, M1, OC-like Malignant, Oligodendrocyte","Immune cells, Malignant cells, Others",FALSE,181.1,NA,NA,"22.97328683","16.2599651",4347,"GSE70630","Glioma",TRUE,"",NA,"7587837_28","array_7587837_28.out","Glioma_GSE70630","4347","not_complete","array","ychen-sha+","ychen-rw",12,"FAILED","1:00","0:22:53",NA,NA,"24000M","22:58.1","111M","6-Aug","15:51","Glioma_GSE70630.pipeline.h5","COMPLETED","7723962_28",7723962,"array",24,"COMPLETED","0:08:14","48000M","billing=2+","08:31.1",912,"COMPLETED COMPLETED COMPLETED","48000M  ","billing=2+  "," cpu=00:08:31 cpu=00:00:00"," fs/disk=986495300 fs/disk=2332"," mem=9779692K mem=0"," vmem=10908148K vmem=0","Glioma_GSE70630.secondStage.h5","123M","Glioma_GSE70630.secondStage.h5","yes"
"BRCA_GSE143423",29,"T010013","Human","None",2,"4,375","10x Genomics","Metastatic","None","Malignant, Mono/Macro, Oligodendrocyte","M1, Malignant, Oligodendrocyte","Immune cells, Malignant cells, Others",FALSE,133.3,NA,NA,"",NA,4375,"GSE143423","BRCA",FALSE,"",NA,"7587837_29","array_7587837_29.out","BRCA_GSE143423","4375","15.69791502","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:15:44",NA,NA,"24000M","15:49.9","56M","6-Aug","15:51","BRCA_GSE143423.pipeline.h5","COMPLETED","7723962_29",7723962,"array",24,"COMPLETED","0:04:46","48000M","billing=2+","04:49.7",912,"COMPLETED COMPLETED COMPLETED","48000M  ","billing=2+  "," cpu=00:04:50 cpu=00:00:00"," fs/disk=0 fs/disk=2332"," mem=5100072K mem=0"," vmem=5855816K vmem=0","BRCA_GSE143423.secondStage.h5","58M","BRCA_GSE143423.secondStage.h5","yes"
"NSCLC_GSE149655",30,"T020141","Human","None",2,"4,433","10x Genomics","Primary","32891189","Alveolar, CD8Tex, Ciliated, Club, Endothelial, Fibroblasts, Mast, Mono/Macro, Myofibroblasts","Alveolar, CD8Tex, Ciliated, Club, Endothelial, Fibroblasts, M2, Mast, Monocyte, Myofibroblasts","Immune cells, Others, Stromal cells",TRUE,184.3,NA,NA,"",NA,4433,"GSE149655","NSCLC",FALSE,"",NA,"7587837_30","array_7587837_30.out","NSCLC_GSE149655","9591","30.43114549","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:30:31",NA,NA,"24000M","30:35.4","88M","6-Aug","15:52","NSCLC_GSE149655.pipeline.h5","COMPLETED","7723962_30",7723962,"array",24,"COMPLETED","0:10:15","48000M","billing=2+","10:37.8",912,"COMPLETED COMPLETED COMPLETED","48000M  ","billing=2+  "," cpu=00:10:38 cpu=00:00:00"," fs/disk=1502129071 fs/disk=2332"," mem=10364484K mem=0"," vmem=11989492K vmem=0","NSCLC_GSE149655.secondStage.h5","125M","NSCLC_GSE149655.secondStage.h5","yes"
"CRC_GSE112865_mouse_aPD1",31,"T010021","Mouse","Immunotherapy",NA,"4,454","10x Genomics","Primary","30613266","CD4Tconv, CD8T, CD8Tex, DC, Mono/Macro, Neutrophils, NK, Tprolif","CD8Tex, CD8Tn, cDC1, M2, Monocyte, Neutrophils, NK, pDC, Th1, Tprolif","Immune cells",FALSE,51.7,NA,NA,"",NA,4454,"GSE112865","CRC",FALSE,"",NA,"7588105_31","array_7588105_31.out","CRC_GSE112865_mouse_aPD1","4454","12.46421695","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:12:32",NA,NA,"24000M","12:34.4","34M","6-Aug","15:51","CRC_GSE112865_mouse_aPD1.pipeline.h5","COMPLETED","7723989_31",7723989,"array",24,"COMPLETED","0:04:38","48000M","billing=2+","04:42.2",912,"COMPLETED COMPLETED COMPLETED","48000M  ","billing=2+  "," cpu=00:04:42 cpu=00:00:00"," fs/disk=0 fs/disk=2332"," mem=3962508K mem=0"," vmem=4642132K vmem=0","CRC_GSE112865_mouse_aPD1.secondStage.h5","43M","CRC_GSE112865_mouse_aPD1.secondStage.h5","yes"
"SKCM_GSE72056",32,"T010078","Human","None",19,"4,645","Smart-seq2","Metastatic","27124452","B, CD4Tconv, CD8Tex, Endothelial, Fibroblasts, Malignant, Mono/Macro, Tprolif","B, CD4Tn, CD8Tex, Endothelial, Fibroblasts, Malignant, Monocyte, Tfh, Th1, Tprolif","Immune cells, Malignant cells, Stromal cells",TRUE,166,NA,NA,"",NA,4645,"GSE72056","SKCM",FALSE,"",NA,"7588105_32","array_7588105_32.out","SKCM_GSE72056","found","not_complete","array","ychen-sha+","ychen-rw",12,"FAILED","1:00","0:00:17",NA,NA,"24000M","00:14.7",NA,NA,NA,NA,NA,"7723989_32",7723989,"array",24,"COMPLETED","0:08:21","48000M","billing=2+","08:38.2",912,"COMPLETED COMPLETED COMPLETED","48000M  ","billing=2+  "," cpu=00:08:37 cpu=00:00:00"," fs/disk=1028098352 fs/disk=2332"," mem=10102320K mem=0"," vmem=11218184K vmem=0","SKCM_GSE72056.secondStage.h5","148M","SKCM_GSE72056.secondStage.h5","yes"
"CRC_GSE179784",33,"T020100","Human","Immunotherapy",1,"4,647","MGI DNBelab C4","Primary","None","CD4Tconv, DC, Epithelial, Fibroblasts, Plasma, Tprolif","CD4Tconv, DC, Epithelial, Fibroblasts, Plasma, Tprolif","Immune cells, Stromal cells",FALSE,89.7,NA,NA,"",NA,4647,"GSE179784","CRC",FALSE,"",NA,"7588105_33","array_7588105_33.out","CRC_GSE179784","4647","19.55074484","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:19:36",NA,NA,"24000M","19:42.6","52M","6-Aug","15:51","CRC_GSE179784.pipeline.h5","COMPLETED","7723989_33",7723989,"array",24,"COMPLETED","0:06:05","48000M","billing=2+","06:16.6",912,"COMPLETED COMPLETED COMPLETED","48000M  ","billing=2+  "," cpu=00:06:17 cpu=00:00:00"," fs/disk=902726465 fs/disk=2332"," mem=8626580K mem=0"," vmem=9388924K vmem=0","CRC_GSE179784.secondStage.h5","69M","CRC_GSE179784.secondStage.h5","yes"
"MPNST_GSE165826",34,"T020165","Human","None",1,"4,754","10x Genomics","Primary","34010628","CD8T, Fibroblasts, Mono/Macro, Myofibroblasts, Neural crest","CD8T, Fibroblasts, Mono/Macro, Myofibroblasts, Neural crest","Immune cells, Stromal cells",FALSE,107.8,NA,NA,"",NA,4754,"GSE165826","MPNST",FALSE,"",NA,"7588105_34","array_7588105_34.out","MPNST_GSE165826","4754","19.0729974","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:19:08",NA,NA,"24000M","19:12.4","58M","6-Aug","15:52","MPNST_GSE165826.pipeline.h5","COMPLETED","7723989_34",7723989,"array",24,"COMPLETED","0:06:50","48000M","billing=2+","07:04.9",912,"COMPLETED COMPLETED COMPLETED","48000M  ","billing=2+  "," cpu=00:07:04 cpu=00:00:00"," fs/disk=934918398 fs/disk=2332"," mem=9607752K mem=0"," vmem=10459764K vmem=0","MPNST_GSE165826.secondStage.h5","74M","MPNST_GSE165826.secondStage.h5","yes"
"CLL_GSE159417",35,"T020097","Human","None",2,"4,763","10x Genomics","Primary","34362918","B, CD4Tconv, CD8T, Malignant, Mono/Macro, Progenitor","B, CD4Tconv, CD8T, Malignant, Mono/Macro, Progenitor","Immune cells, Malignant cells",FALSE,45.7,NA,NA,"",NA,4763,"GSE159417","CLL",FALSE,"",NA,"7588105_35","array_7588105_35.out","CLL_GSE159417","4763","13.79260818","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:13:51",NA,NA,"24000M","13:50.6","30M","6-Aug","15:51","CLL_GSE159417.pipeline.h5","COMPLETED","7723989_35",7723989,"array",24,"COMPLETED","0:04:29","48000M","billing=2+","04:29.7",912,"COMPLETED COMPLETED COMPLETED","48000M  ","billing=2+  "," cpu=00:04:30 cpu=00:00:00"," fs/disk=0 fs/disk=2332"," mem=3551264K mem=0"," vmem=4234120K vmem=0","CLL_GSE159417.secondStage.h5","37M","CLL_GSE159417.secondStage.h5","yes"
"MM_GSE143317",36,"T020127","Human","Immunotherapy",1,"4,882","10x Genomics","Relapsed","33619368","B, CD4Tconv, CD8T, Erythrocytes, Malignant, Mono/Macro, Neutrophils, NK","B, CD4Tconv, CD8T, Erythrocytes, Malignant, Mono/Macro, Neutrophils, NK","Immune cells, Malignant cells, Stromal cells",FALSE,137,NA,NA,"",NA,4882,"GSE143317","MM",FALSE,"",NA,"7588105_36","array_7588105_36.out","MM_GSE143317","4882","18.08589932","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:18:09",NA,NA,"24000M","18:14.5","75M","6-Aug","15:52","MM_GSE143317.pipeline.h5","COMPLETED","7723989_36",7723989,"array",24,"COMPLETED","0:07:15","48000M","billing=2+","07:27.7",912,"COMPLETED COMPLETED COMPLETED","48000M  ","billing=2+  "," cpu=00:07:26 cpu=00:00:00"," fs/disk=911238883 fs/disk=2332"," mem=10064640K mem=0"," vmem=10938276K vmem=0","MM_GSE143317.secondStage.h5","94M","MM_GSE143317.secondStage.h5","yes"
"PAAD_GSE141017",37,"T020156","Human","None",1,"4,934","10x Genomics","Primary","33649045","CD8T, Fibroblasts, Malignant, Mono/Macro","CD8Tcm, Fibroblasts, M1, Malignant, Monocyte","Immune cells, Malignant cells, Stromal cells",FALSE,82.9,NA,NA,"",NA,4934,"GSE141017","PAAD",FALSE,"",NA,"7588105_37","array_7588105_37.out","PAAD_GSE141017","4917","20.0544308","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:20:07",NA,NA,"24000M","20:11.5","52M","6-Aug","15:52","PAAD_GSE141017.pipeline.h5","COMPLETED","7723989_37",7723989,"array",24,"COMPLETED","0:06:12","48000M","billing=2+","06:23.1",912,"COMPLETED COMPLETED COMPLETED","48000M  ","billing=2+  "," cpu=00:06:23 cpu=00:00:00"," fs/disk=916858898 fs/disk=2332"," mem=7902700K mem=0"," vmem=8696272K vmem=0","PAAD_GSE141017.secondStage.h5","68M","PAAD_GSE141017.secondStage.h5","yes"
"LIHC_GSE98638",38,"T010048","Human","None",6,"5,059","Smart-seq2","Primary","28622514","CD4Tconv, CD8T, CD8Tex, Others, Tprolif, Treg","CD4Teff, CD4Tn, CD8Tcm, CD8Teff, CD8Tex, MAIT, Others, Tfh, Th1, Th17, Tprolif, Treg","Immune cells, Others",FALSE,144.7,NA,NA,"",NA,5059,"GSE98638","LIHC",FALSE,"",NA,"7588105_38","array_7588105_38.out","LIHC_GSE98638","5059","19.38083097","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:19:27",NA,NA,"24000M","19:29.7","79M","6-Aug","15:52","LIHC_GSE98638.pipeline.h5","COMPLETED","7723989_38",7723989,"array",24,"COMPLETED","0:06:14","48000M","billing=2+","06:22.6",912,"COMPLETED COMPLETED COMPLETED","48000M  ","billing=2+  "," cpu=00:06:21 cpu=00:00:00"," fs/disk=892442453 fs/disk=2332"," mem=9896944K mem=0"," vmem=10871724K vmem=0","LIHC_GSE98638.secondStage.h5","85M","LIHC_GSE98638.secondStage.h5","yes"
"Glioma_GSE141982",39,"T010035","Human","None",2,"5,263","10x Genomics","Primary","32105316","CD8T, Endothelial, Malignant, Mono/Macro","CD8Tem, Endothelial, M2, Malignant","Immune cells, Malignant cells, Stromal cells",TRUE,89.6,NA,NA,"19.77354695","13.6898769",5263,"GSE141982","Glioma",TRUE,"",NA,"7588105_39","array_7588105_39.out","Glioma_GSE141982","5261","not_complete","array","ychen-sha+","ychen-rw",12,"FAILED","1:00","0:19:48",NA,NA,"24000M","19:49.1","47M","6-Aug","15:51","Glioma_GSE141982.pipeline.h5","COMPLETED","7723989_39",7723989,"array",24,"COMPLETED","0:06:28","48000M","billing=2+","06:35.8",912,"COMPLETED COMPLETED COMPLETED","48000M  ","billing=2+  "," cpu=00:06:36 cpu=00:00:00"," fs/disk=970156836 fs/disk=2332"," mem=9206044K mem=0"," vmem=10063320K vmem=0","Glioma_GSE141982.secondStage.h5","70M","Glioma_GSE141982.secondStage.h5","yes"
"PCFCL_GSE173820",40,"T020136","Human","Immunotherapy",1,"5,270","10x Genomics","Primary","34018188","B, CD4Tconv, CD8T, DC, Endothelial, Epithelial, Fibroblasts, Mono/Macro, Myofibroblasts","B, CD4Tconv, CD8T, DC, Endothelial, Epithelial, Fibroblasts, Mono/Macro, Myofibroblasts","Immune cells, Stromal cells",TRUE,44.1,NA,NA,"",NA,5270,"GSE173820","PCFCL",FALSE,"",NA,"7588105_40","array_7588105_40.out","PCFCL_GSE173820","found","not_complete","array","ychen-sha+","ychen-rw",12,"FAILED","1:00","0:00:15",NA,NA,"24000M","00:13.9","38M","16-Aug","15:29","PCFCL_GSE173820.pipeline.h5","COMPLETED","7723989_40",7723989,"array",24,"COMPLETED","0:04:31","48000M","billing=2+","04:34.7",912,"COMPLETED COMPLETED COMPLETED","48000M  ","billing=2+  "," cpu=00:04:34 cpu=00:00:00"," fs/disk=0 fs/disk=2332"," mem=3343940K mem=0"," vmem=3974776K vmem=0","PCFCL_GSE173820.secondStage.h5","52M","PCFCL_GSE173820.secondStage.h5","yes"
"THCA_GSE154763",41,"T020184","Human","None",10,"5,312","10x Genomics","Primary","33545035","DC, Mast, Mono/Macro, pDC","DC, Mast, Mono/Macro, pDC","Immune cells",FALSE,105.2,NA,NA,"",NA,5312,"GSE154763","THCA",FALSE,"",NA,"7588117_41","array_7588117_41.out","THCA_GSE154763","5312","15.15191213","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:15:13",NA,NA,"24000M","15:14.1","46M","6-Aug","15:52","THCA_GSE154763.pipeline.h5","COMPLETED","7724007_41",7724007,"array",24,"COMPLETED","0:06:46","48000M","billing=2+","06:53.9",912,"COMPLETED COMPLETED COMPLETED","48000M  ","billing=2+  "," cpu=00:06:53 cpu=00:00:00"," fs/disk=939110550 fs/disk=2332"," mem=8192044K mem=0"," vmem=9091396K vmem=0","THCA_GSE154763.secondStage.h5","60M","THCA_GSE154763.secondStage.h5","yes"
"NSCLC_GSE150660",42,"T020142","Human","None",2,"5,407","10x Genomics","Metastatic","32675368","CD4Tconv, CD8T, CD8Tex, DC, Malignant, Mono/Macro","CD8Tex, CD8Tn, cDC2, M1, M2, Malignant, Monocyte, Th2","Immune cells, Malignant cells",FALSE,73.1,NA,NA,"",NA,5407,"GSE150660","NSCLC",FALSE,"",NA,"7588117_42","array_7588117_42.out","NSCLC_GSE150660","5407","18.06654526","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:18:09",NA,NA,"24000M","18:08.2","34M","6-Aug","15:52","NSCLC_GSE150660.pipeline.h5","COMPLETED","7724007_42",7724007,"array",24,"COMPLETED","0:04:45","48000M","billing=2+","04:48.0",912,"COMPLETED COMPLETED COMPLETED","48000M  ","billing=2+  "," cpu=00:04:47 cpu=00:00:00"," fs/disk=0 fs/disk=2332"," mem=4608836K mem=0"," vmem=5418096K vmem=0","NSCLC_GSE150660.secondStage.h5","41M","NSCLC_GSE150660.secondStage.h5","yes"
"CRC_GSE122969_mouse_aPD1aTIM3",43,"T010023","Mouse","Immunotherapy",NA,"5,457","10x Genomics","Primary","30635236","CD8T, CD8Tex, DC, Fibroblasts, Mono/Macro, Tprolif","CD8Tcm, CD8Teff, CD8Tex, CD8Tn, Fibroblasts, M2, Others, pDC, Tprolif","Immune cells, Stromal cells",FALSE,66.5,NA,NA,"",NA,5457,"GSE122969","CRC",FALSE,"",NA,"7588117_43","array_7588117_43.out","CRC_GSE122969_mouse_aPD1aTIM3","5457","14.91393906","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:14:59",NA,NA,"24000M","14:59.8","28M","6-Aug","15:51","CRC_GSE122969_mouse_aPD1aTIM3.pipeline.h5","COMPLETED","7724007_43",7724007,"array",24,"COMPLETED","0:04:53","48000M","billing=2+","04:57.2",912,"COMPLETED COMPLETED COMPLETED","48000M  ","billing=2+  "," cpu=00:04:57 cpu=00:00:00"," fs/disk=0 fs/disk=2332"," mem=4798576K mem=0"," vmem=5575164K vmem=0","CRC_GSE122969_mouse_aPD1aTIM3.secondStage.h5","33M","CRC_GSE122969_mouse_aPD1aTIM3.secondStage.h5","yes"
"CHOL_GSE125449_aPD1aPDL1aCTLA4",44,"T010016","Human","Immunotherapy",10,"5,761","10x Genomics","Primary","31588021","B, CD4Tconv, CD8T, CD8Tex, Endothelial, Fibroblasts, Hepatic progenitor, Malignant, Mono/Macro, Plasma, Tprolif","B, CD4Tn, CD8Tem, CD8Tex, Endothelial, Fibroblasts, Hepatic progenitor, Malignant, Monocyte, Plasma, Tprolif","Immune cells, Malignant cells, Stromal cells",TRUE,73.5,NA,NA,"",NA,5761,"GSE125449","CHOL",FALSE,"",NA,"7588117_44","array_7588117_44.out","CHOL_GSE125449_aPD1aPDL1aCTLA4","5762","21.43700711","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:21:29",NA,NA,"24000M","21:30.9","50M","6-Aug","15:51","CHOL_GSE125449_aPD1aPDL1aCTLA4.pipeline.h5","COMPLETED","7724007_44",7724007,"array",24,"COMPLETED","0:06:12","48000M","billing=2+","06:18.5",912,"COMPLETED COMPLETED COMPLETED","48000M  ","billing=2+  "," cpu=00:06:19 cpu=00:00:00"," fs/disk=1009038961 fs/disk=2332"," mem=8441876K mem=0"," vmem=9317308K vmem=0","CHOL_GSE125449_aPD1aPDL1aCTLA4.secondStage.h5","77M","CHOL_GSE125449_aPD1aPDL1aCTLA4.secondStage.h5","yes"
"HNSC_GSE103322",45,"T010040","Human","None",18,"5,902","Smart-seq2","Primary","29198524","CD4Tconv, CD8T, CD8Tex, Endothelial, Fibroblasts, Malignant, Mast, Mono/Macro, Myocyte, Myofibroblasts, Plasma","CD4Tn, CD8Tcm, CD8Tex, Endothelial, Fibroblasts, M1, Malignant, Mast, Myocyte, Myofibroblasts, Plasma","Immune cells, Malignant cells, Stromal cells",TRUE,206.1,NA,NA,"",NA,5902,"GSE103322","HNSC",FALSE,"",NA,"7588117_45","array_7588117_45.out","HNSC_GSE103322","5902","28.60445813","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:28:41",NA,NA,"24000M","28:45.8","136M","6-Aug","15:51","HNSC_GSE103322.pipeline.h5","COMPLETED","7724007_45",7724007,"array",24,"COMPLETED","0:09:34","48000M","billing=2+","09:53.0",912,"COMPLETED COMPLETED COMPLETED","48000M  ","billing=2+  "," cpu=00:09:53 cpu=00:00:00"," fs/disk=1162337857 fs/disk=2332"," mem=5708512K mem=0"," vmem=6998940K vmem=0","HNSC_GSE103322.secondStage.h5","167M","HNSC_GSE103322.secondStage.h5","yes"
"OV_GSE115007",46,"T010064","Human","None",1,"6,000","10x Genomics","Primary","29967419","DC, Mono/Macro, Plasma","cDC1, cDC2, M2, Monocyte, Plasma","Immune cells",FALSE,80,NA,NA,"",NA,6000,"GSE115007","OV",FALSE,"",NA,"7588117_46","array_7588117_46.out","OV_GSE115007","6000","17.23754461","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:17:19",NA,NA,"24000M","17:19.7","37M","6-Aug","15:52","OV_GSE115007.pipeline.h5","COMPLETED","7724007_46",7724007,"array",24,"COMPLETED","0:05:22","48000M","billing=2+","05:29.0",912,"COMPLETED COMPLETED COMPLETED","48000M  ","billing=2+  "," cpu=00:05:28 cpu=00:00:00"," fs/disk=934918554 fs/disk=2332"," mem=8143480K mem=0"," vmem=9021684K vmem=0","OV_GSE115007.secondStage.h5","48M","OV_GSE115007.secondStage.h5","yes"
"BRCA_GSE110686",47,"T010008","Human","None",2,"6,035","10x Genomics","Primary, Metastatic","29942092","CD4Tconv, CD8T, CD8Tex, Mono/Macro, Tprolif, Treg","CD4Tn, CD8Tcm, CD8Teff, CD8Tem, CD8Tex, M1, Tfh, Th17, Th2, Tprolif, Treg","Immune cells",FALSE,59.3,NA,NA,"",NA,6035,"GSE110686","BRCA",FALSE,"",NA,"7588117_47","array_7588117_47.out","BRCA_GSE110686","6035","16.24500548","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:16:18",NA,NA,"24000M","16:19.8","24M","6-Aug","15:51","BRCA_GSE110686.pipeline.h5","COMPLETED","7724007_47",7724007,"array",24,"COMPLETED","0:04:19","48000M","billing=2+","04:20.8",912,"COMPLETED COMPLETED COMPLETED","48000M  ","billing=2+  "," cpu=00:04:21 cpu=00:00:00"," fs/disk=0 fs/disk=2332"," mem=4591952K mem=0"," vmem=5402776K vmem=0","BRCA_GSE110686.secondStage.h5","30M","BRCA_GSE110686.secondStage.h5","yes"
"PAAD_GSE111672",48,"T010067","Human","None",3,"6,122","inDrop","Primary","31932730","Acinar, CD8T, Ductal, Endothelial, Fibroblasts, Malignant, Mast, Mono/Macro, Neutrophils, Others, Tprolif","Acinar, CD8Tcm, Ductal, Endothelial, Fibroblasts, M1, Malignant, Mast, Neutrophils, Others, Tprolif","Immune cells, Malignant cells, Others, Stromal cells",TRUE,79.5,NA,NA,"",NA,6122,"GSE111672","PAAD",FALSE,"",NA,"7588117_48","array_7588117_48.out","PAAD_GSE111672","6122","18.69525446","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:18:47",NA,NA,"24000M","18:48.5","44M","6-Aug","15:52","PAAD_GSE111672.pipeline.h5","COMPLETED","7724007_48",7724007,"array",24,"COMPLETED","0:07:09","48000M","billing=2+","07:20.0",912,"COMPLETED COMPLETED COMPLETED","48000M  ","billing=2+  "," cpu=00:07:19 cpu=00:00:00"," fs/disk=1017705314 fs/disk=2332"," mem=8972260K mem=0"," vmem=9915552K vmem=0","PAAD_GSE111672.secondStage.h5","70M","PAAD_GSE111672.secondStage.h5","yes"
"PAAD_GSE148673",49,"T020157","Human","None",2,"6,196","10x Genomics","Primary","33462507","B, CD8T, Epithelial, Malignant, Mono/Macro, NK","B, CD8T, Epithelial, Malignant, Mono/Macro, NK","Immune cells, Malignant cells, Stromal cells",FALSE,183.4,NA,NA,"",NA,6196,"GSE148673","PAAD",FALSE,"",NA,"7588117_49","array_7588117_49.out","PAAD_GSE148673","6196","19.23728214","array","ychen-sha+","ychen-rw",12,"COMPLETED","0:00","0:19:18",NA,NA,"24000M","19:22.7","68M","6-Aug","15:52","PAAD_GSE148673.pipeline.h5","COMPLETED","7724007_49",7724007,"array",24,"COMPLETED","0:08:02","48000M","billing=2+","08:16.9",912,"COMPLETED COMPLETED COMPLETED","48000M  ","billing=2+  "," cpu=00:08:17 cpu=00:00:00"," fs/disk=986546281 fs/disk=2332"," mem=11699948K mem=0"," vmem=12813828K vmem=0","PAAD_GSE148673.secondStage.h5","80M","PAAD_GSE148673.secondStage.h5","yes"
"Glioma_GSE89567",50,"T010039","Human","None",10,"6,341","Smart-seq2","Primary","28360267","AC-like Malignant, Mono/Macro, OC-like Malignant, Oligodendrocyte","AC-like Malignant, M1, OC-like Malignant, Oligodendrocyte","Immune cells, Malignant cells, Others",FALSE,294.2,NA,NA,"28.48567523",NA,6341,"GSE89567","Glioma",TRUE,"",NA,"7588117_50","array_7588117_50.out","Glioma_GSE89567","6341","not_complete","array","ychen-sha+","ychen-rw",12,"FAILED","1:00","0:28:20",NA,NA,"24000M","28:26.5","157M","6-Aug","15:51","Glioma_GSE89567.pipeline.h5","COMPLETED","7724007_50",7724007,"array",24,"COMPLETED","0:10:45","48000M","billing=2+","11:08.0",912,"COMPLETED COMPLETED COMPLETED","48000M  ","billing=2+  "," cpu=00:11:07 cpu=00:00:00"," fs/disk=1153483986 fs/disk=2332"," mem=12217496K mem=0"," vmem=13934504K vmem=0","Glioma_GSE89567.secondStage.h5","173M","Glioma_GSE89567.secondStage.h5","yes"
